,Sentiment,Time,Text,cleaned
0,positive,18/6/21,This is a very healthy dog food. Good for their digestion. Also good for small puppies. My dog eats her required amount at every feeding.,"['healthy', 'dog', 'food', 'good', 'digestion', 'also', 'good', 'small', 'puppy', 'dog', 'eats', 'required', 'amount', 'every', 'feeding']"
1,positive,7/7/21,I've been very pleased with the Natural Balance dog food. Our dogs have had issues with other dog foods in the past and I had someone recommend Natural Balance grain free since it is possible they were allergic to grains. Since switching I haven't had any issues. It is also helpful that have have different kibble size for larger/smaller sized dogs.,"['pleased', 'natural', 'balance', 'dog', 'food', 'dog', 'issue', 'dog', 'food', 'past', 'someone', 'recommend', 'natural', 'balance', 'grain', 'free', 'since', 'possible', 'allergic', 'grain', 'since', 'switching', 'issue', 'also', 'helpful', 'different', 'kibble', 'size', 'larger', 'smaller', 'sized', 'dog']"
2,positive,18/6/21,"Before I was educated about feline nutrition, I allowed my cats to become addicted to dry cat food. I always offered both canned and dry, but wish I would have fed them premium quality canned food and limited dry food. I have two 15 year old cats and two 5 year old cats. The only good quality dry foods they will eat are Wellness and Innova. Innova's manufacturer was recently purchased by Procter&Gamble. I began looking for a replacement. After once again offering several samples (from my local holistic pet store) Holistic Select was the only one (other than the usual Wellness and Innova) they would eat. For finicky cats, I recommend trying Holistic Select. It is a good quality food that is very palatable for finicky eaters.","['educated', 'feline', 'nutrition', 'allowed', 'cat', 'become', 'addicted', 'dry', 'cat', 'food', 'always', 'offered', 'canned', 'dry', 'wish', 'would', 'fed', 'premium', 'quality', 'canned', 'food', 'limited', 'dry', 'food', 'two', 'year', 'old', 'cat', 'two', 'year', 'old', 'cat', 'good', 'quality', 'dry', 'food', 'eat', 'wellness', 'innova', ""innova's"", 'manufacturer', 'recently', 'purchased', 'procter', 'gamble', 'began', 'looking', 'replacement', 'offering', 'several', 'sample', 'from', 'local', 'holistic', 'pet', 'store', 'holistic', 'select', 'one', 'other', 'usual', 'wellness', 'innova', 'would', 'eat', 'finicky', 'cat', 'recommend', 'trying', 'holistic', 'select', 'good', 'quality', 'food', 'palatable', 'finicky', 'eater']"
3,positive,7/7/21,"My holistic vet recommended this, along with a few other brands. We tried them all, but my cats prefer this (especially the sardine version). The best part is their coats are so soft and clean and their eyes are so clear. AND (and I don't want to be rude, so I'll say this as delicately as I can) their waste is far less odorous than cats who eat the McDonalds junk found in most stores, which is a definite plus for me! The health benefits are so obvious - I highly recommend Holistic Select!","['holistic', 'vet', 'recommended', 'this', 'along', 'brand', 'tried', 'all', 'cat', 'prefer', 'especially', 'sardine', 'version', 'best', 'part', 'coat', 'soft', 'clean', 'eye', 'clear', 'and', 'want', 'rude', 'say', 'delicately', 'can', 'waste', 'far', 'odorous', 'cat', 'eat', 'mcdonalds', 'junk', 'found', 'store', 'definite', 'plus', 'health', 'benefit', 'obvious', 'highly', 'recommend', 'holistic', 'select']"
4,positive,1/7/21,"I bought this coffee because its much cheaper than the ganocafe and has the organic reishi mushroom as well as other healthy antioxidants.  I didn't expect it to taste good, but it actually does!  I've only had it for a few days and for $5 its totally worth it.  My sisters all take ganocafe but now I'm introducing them to this less expensive similar coffee.  I will follow up on this product in a few weeks.  :)","['bought', 'coffee', 'much', 'cheaper', 'ganocafe', 'organic', 'reishi', 'mushroom', 'well', 'healthy', 'antioxidant', 'expect', 'taste', 'good', 'actually', 'doe', 'day', 'totally', 'worth', 'sister', 'take', 'ganocafe', 'introducing', 'expensive', 'similar', 'coffee', 'follow', 'product', 'week']"
5,positive,7/7/21,"Like the other people mentioned, this coffee has a great taste. I've tried different instant coffees before, but this one is one of the better ones. Another one of my favorites, if you want to try it out (though NOT organic), is 'Africafe pure instant coffee'","['like', 'people', 'mentioned', 'coffee', 'great', 'taste', 'tried', 'different', 'instant', 'coffee', 'before', 'one', 'one', 'better', 'one', 'another', 'one', 'favorite', 'want', 'try', 'though', 'organic', 'africafe', 'pure', 'instant', 'coffee']"
6,positive,23/7/21,A good tasting light chip that has some value in nutrition.  Everyone get the munchies....is this is a good alternative to eating potato chips!,"['good', 'tasting', 'light', 'chip', 'value', 'nutrition', 'everyone', 'get', 'munchies', '...', 'good', 'alternative', 'eating', 'potato', 'chip']"
7,positive,20/7/21,"A grande item !  Delicious fish with the ultimate flavor, best  ever in a can for all purposes !  I sent a case to my Mother recently diagnosed with Diabetes, and she loves it as a main entree for cooking patties !","['grande', 'item', 'delicious', 'fish', 'ultimate', 'flavor', 'best', 'ever', 'purpose', 'sent', 'case', 'mother', 'recently', 'diagnosed', 'diabetes', 'love', 'main', 'entree', 'cooking', 'patty']"
8,positive,19/7/21,"I ordered this product two times now and have been very happy with both the delivery and the product.  It works great for cooking, baking and as a substitute sugar in my Chai lattes.","['ordered', 'product', 'two', 'time', 'happy', 'delivery', 'product', 'work', 'great', 'cooking', 'baking', 'substitute', 'sugar', 'chai', 'latte']"
9,positive,18/6/21,"This stuff is great because it's low glycemic. Substitute this to sugar and you'll be doing your body a great favor.  This size is economical and shipping is fast, too.  I got mine very soon.","['stuff', 'great', 'low', 'glycemic', 'substitute', 'sugar', 'body', 'great', 'favor', 'size', 'economical', 'shipping', 'fast', 'too', 'got', 'mine', 'soon']"
