,Sentiment,Time,cleaned,Text
0,positive,18/6/21,"['dog', 'small', 'also', 'every', 'amount', 'healthy', 'food', 'digestion', 'good', 'eats', 'feeding']",this is a very healthy dog food. good for their digestion. also good for small puppies. my dog eats her required amount at every feeding.
1,positive,7/7/21,"['sized', 'also', 'grain', 'size', 'food', 'switch', 'balance', 'helpful', 'recommend', 'natural', 'different', 'dog', 'kibble', 'someone', 'allergic', 'possible', 'small', 'free', 'since', 'past']",i've been very pleased with the natural balance dog food. our dogs have had issues with other dog foods in the past and i had someone recommend natural balance grain free since it is possible they were allergic to grains. since switching i haven't had any issues. it is also helpful that have have different kibble size for larger/smaller sized dogs.
2,positive,18/6/21,"['other', 'old', 'two', 'addict', 'food', 'always', 'educate', 'local', 'manufacturer', 'store', 'eat', 'year', 'recommend', 'quality', 'limited', 'wellness', 'holistic', 'from', 'become', 'recently', 'palatable', 'usual', 'several', 'would', 'gamble', 'good', 'pet', 'feline', 'offer', 'can', 'one', 'cat', 'dry', 'feed', 'replacement', 'try', 'nutrition', 'look', 'premium', 'wish', 'select']","before i was educated about feline nutrition, i allowed my cats to become addicted to dry cat food. i always offered both canned and dry, but wish i would have fed them premium quality canned food and limited dry food. i have two 15 year old cats and two 5 year old cats. the only good quality dry foods they will eat are wellness and innova. innova's manufacturer was recently purchased by procter&gamble. i began looking for a replacement. after once again offering several samples (from my local holistic pet store) holistic select was the only one (other than the usual wellness and innova) they would eat. for finicky cats, i recommend trying holistic select. it is a good quality food that is very palatable for finicky eaters."
3,positive,7/7/21,"['especially', 'delicately', 'prefer', 'obvious', 'along', 'part', 'waste', 'odorous', 'find', 'vet', 'all', 'plus', 'version', 'eat', 'best', 'recommend', 'far', 'holistic', 'definite', 'want', 'clean', 'clear', 'say', 'this', 'less', 'rude', 'and', 'can', 'highly', 'sardine', 'soft', 'try', 'health', 'junk', 'select']","my holistic vet recommended this, along with a few other brands. we tried them all, but my cats prefer this (especially the sardine version). the best part is their coats are so soft and clean and their eyes are so clear. and (and i don't want to be rude, so i'll say this as delicately as i can) their waste is far less odorous than cats who eat the mcdonalds junk found in most stores, which is a definite plus for me! the health benefits are so obvious - i highly recommend holistic select!"
4,positive,1/7/21,"['day', 'do', 'totally', 'mushroom', 'buy', 'expect', 'actually', 'worth', 'coffee', 'similar', 'less', 'much', 'expensive', 'good', 'well', 'take', 'organic', 'product', 'follow', 'taste', 'healthy']","i bought this coffee because its much cheaper than the ganocafe and has the organic reishi mushroom as well as other healthy antioxidants.  i didn't expect it to taste good, but it actually does!  i've only had it for a few days and for $5 its totally worth it.  my sisters all take ganocafe but now i'm introducing them to this less expensive similar coffee.  i will follow up on this product in a few weeks.  :)"
5,positive,7/7/21,"['though', 'pure', 'one', 'organic', 'taste', 'coffee', 'good', 'people', 'want', 'try', 'another', 'great', 'before', 'instant', 'different', 'like']","like the other people mentioned, this coffee has a great taste. i've tried different instant coffees before, but this one is one of the better ones. another one of my favorites, if you want to try it out (though not organic), is 'africafe pure instant coffee'"
6,positive,23/7/21,"['light', 'get', 'alternative', 'tasting', 'everyone', 'eat', 'value', 'nutrition', 'potato', 'chip', 'good']",a good tasting light chip that has some value in nutrition.  everyone get the munchies....is this is a good alternative to eating potato chips!
7,positive,20/7/21,"['delicious', 'case', 'mother', 'ultimate', 'main', 'flavor', 'item', 'recently', 'send', 'fish', 'best', 'ever', 'diabetes', 'entree', 'cooking']","a grande item !  delicious fish with the ultimate flavor, best  ever in a can for all purposes !  i sent a case to my mother recently diagnosed with diabetes, and she loves it as a main entree for cooking patties !"
8,positive,19/7/21,"['work', 'bake', 'substitute', 'delivery', 'product', 'time', 'two', 'happy', 'sugar', 'chai', 'great', 'cook', 'order']","i ordered this product two times now and have been very happy with both the delivery and the product.  it works great for cooking, baking and as a substitute sugar in my chai lattes."
9,positive,18/6/21,"['substitute', 'soon', 'favor', 'size', 'economical', 'got', 'body', 'sugar', 'low', 'stuff', 'mine', 'too', 'great', 'shipping', 'fast']","this stuff is great because it's low glycemic. substitute this to sugar and you'll be doing your body a great favor.  this size is economical and shipping is fast, too.  i got mine very soon."
