,Sentiment,Time,Text,cleaned,cleaned2,label_x,label_y,predicted
8,positive,19/7/21,"I ordered this product two times now and have been very happy with both the delivery and the product.  It works great for cooking, baking and as a substitute sugar in my Chai lattes.","['ordered', 'product', 'two', 'time', 'happy', 'delivery', 'product', 'work', 'great', 'cooking', 'baking', 'substitute', 'sugar', 'chai', 'latte']",ordered product two time happy delivery product work great cooking baking substitute sugar chai latte,1,1,1.0
12,positive,21/7/21,"I've been feeding liver biscotti for years. I was looking for a healthy treat without additives for my epileptic dog (additives can be a seizure trigger) and liver biscotti filled the bill. The ingredients are top-quality. The bite-size bits are perfect for training and don't muck up your pockets. The bite-size portions also make it possible to give rewards without adding pounds, which is a problem with other treats.  And for dogs with wheat and other sensitivities, there is an anti-allergenic recipe. Enthusiastically recommended!","['feeding', 'liver', 'biscotti', 'year', 'looking', 'healthy', 'treat', 'without', 'additive', 'epileptic', 'dog', 'additive', 'seizure', 'trigger', 'liver', 'biscotti', 'filled', 'bill', 'ingredient', 'top-quality', 'bite-size', 'bit', 'perfect', 'training', 'muck', 'pocket', 'bite-size', 'portion', 'also', 'make', 'possible', 'give', 'reward', 'without', 'adding', 'pound', 'problem', 'treat', 'dog', 'wheat', 'sensitivity', 'anti-allergenic', 'recipe', 'enthusiastically', 'recommended']",feeding liver biscotti year looking healthy treat without additive epileptic dog additive seizure trigger liver biscotti filled bill ingredient top-quality bite-size bit perfect training muck pocket bite-size portion also make possible give reward without adding pound problem treat dog wheat sensitivity anti-allergenic recipe enthusiastically recommended,1,1,1.0
15,positive,30/6/21,"I tried this chips in a hotel that I stayed at, and loved them! I ordered them for the office and everyone enjoyed them. I'm on my second order!","['tried', 'chip', 'hotel', 'stayed', 'loved', 'them', 'ordered', 'office', 'everyone', 'enjoyed', 'them', 'second', 'order']",tried chip hotel stayed loved them ordered office everyone enjoyed them second order,1,1,1.0
17,positive,24/8/21,"I picked up a few bags of these at my local HEB and couldnt help but consume half of a bag in a day. The entire stock didnt last even a week for me.<br /><br />Many chips say they have a bold flavor but they never deliver. These, however, do. I tried the Garlic Parmessan chips and the first things I thought was how strong and delicious the parmessan was.. shortly followed by a garlic flavor. Combined with a sharp crunch, I cannot have enough of these chips. I'm almost afraid to buy a 24 pack because I know they won't last a month.<br /><br />It also helps that these things are pretty healthy for you. I mean, they are a potato crisp so you can't be entirely guilt-free... but I don't knock myself for going to town. I just avoid the potato chip aisle these are on when I need to lay low on the snack foods ;)","['picked', 'bag', 'local', 'heb', 'couldnt', 'help', 'consume', 'half', 'bag', 'day', 'entire', 'stock', 'didnt', 'last', 'even', 'week', 'me.', 'many', 'chip', 'say', 'bold', 'flavor', 'never', 'deliver', 'these', 'however', 'tried', 'garlic', 'parmessan', 'chip', 'first', 'thing', 'thought', 'strong', 'delicious', 'parmessan', 'shortly', 'followed', 'garlic', 'flavor', 'combined', 'sharp', 'crunch', 'can', 'not', 'enough', 'chip', 'almost', 'afraid', 'buy', 'pack', 'know', 'last', 'month.', 'also', 'help', 'thing', 'pretty', 'healthy', 'you', 'mean', 'potato', 'crisp', 'entirely', 'guilt-free', '...', 'knock', 'going', 'town', 'avoid', 'potato', 'chip', 'aisle', 'need', 'lay', 'low', 'snack', 'food']",picked bag local heb couldnt help consume half bag day entire stock didnt last even week me. many chip say bold flavor never deliver these however tried garlic parmessan chip first thing thought strong delicious parmessan shortly followed garlic flavor combined sharp crunch can not enough chip almost afraid buy pack know last month. also help thing pretty healthy you mean potato crisp entirely guilt-free ... knock going town avoid potato chip aisle need lay low snack food,1,1,0.0
23,positive,15/7/21,"I am a mom of 3 kids. With my older two I had such a hard time finding a snack for them that didn't have so much sodium! When my 3rd came along, HappyFamily introduced HappyMunchies. I was so thankful to find a snack low in sodium and with a vegetable too! And to top it off, it is organic so I know it is free of pesticide residue and GMOs!","['mom', 'kid', 'older', 'two', 'hard', 'time', 'finding', 'snack', 'much', 'sodium', 'came', 'along', 'happyfamily', 'introduced', 'happymunchies', 'thankful', 'find', 'snack', 'low', 'sodium', 'vegetable', 'too', 'top', 'off', 'organic', 'know', 'free', 'pesticide', 'residue', 'gmos']",mom kid older two hard time finding snack much sodium came along happyfamily introduced happymunchies thankful find snack low sodium vegetable too top off organic know free pesticide residue gmos,1,1,1.0
26,positive,6/7/21,"I generally like vitalicious products. The corn muffin, well, for 100 calories it's not bad. But if you are expecting anything like the sugar/fat laden junk that your local bakery sells, look elsewhere. this is like a healthy makeover that doesn't quite cut it, but they're not bad. For the same amount of calories, the chocolate one is more of an indulgence, but this one is good for a bland breakfast treat, especially baked fresh.<br />My kids are happy to get any extra snacks, so they approve...i send with them to school for a midmorning snack. im glad they get fuel and vitamins.","['generally', 'like', 'vitalicious', 'product', 'corn', 'muffin', 'well', 'calorie', 'bad', 'expecting', 'anything', 'like', 'sugar/fat', 'laden', 'junk', 'local', 'bakery', 'sell', 'look', 'elsewhere', 'like', 'healthy', 'makeover', 'quite', 'cut', 'they', 'bad', 'amount', 'calorie', 'chocolate', 'one', 'indulgence', 'one', 'good', 'bland', 'breakfast', 'treat', 'especially', 'baked', 'fresh.', 'kid', 'happy', 'get', 'extra', 'snack', 'approve', '...', 'send', 'school', 'midmorning', 'snack', 'glad', 'get', 'fuel', 'vitamin']",generally like vitalicious product corn muffin well calorie bad expecting anything like sugar/fat laden junk local bakery sell look elsewhere like healthy makeover quite cut they bad amount calorie chocolate one indulgence one good bland breakfast treat especially baked fresh. kid happy get extra snack approve ... send school midmorning snack glad get fuel vitamin,1,1,1.0
29,positive,27/7/21,"Actually, Sojo's strongly recommends that the meat you add to their mixes be raw, but it an be cooked as I choose to do.  My dog arrived with coccidia and giardia as a puppy.  Through veterinary mismanagement, he was never completely healthy for the first 2 1/2 years of his life.  After watching him get sicker on an aggressive course of antibiotics and prednisone for his Inflammatory Bowel Disease, I took him to a holistic veterinarian.  Part of his treatment has been a homemade diet of Sojo's and meat plus no medications.  I'm extremely pleased to report he has had no GI episodes in over 6 months and has reached a point where I consider him healthy.  His coat is glossy and much fluffier than before he's finally at a good weight.  I have before and after photos that show a dramatic improvement,much of which I credit to Sojo's.<br /><br />It does take some extra time to prepare as opposed to kibble, but I make 4 days worth at a time. This takes me about 30 - 40 minutes total which includes down time while the meat is cooking and cleaning up after.  To be completely honest, I'm not thrilled about cooking for my dog but I am thrilled with the results.  If I was able to feed him raw (perhaps down the road, when our vet gives the ok), preparation time would  be almost nothing.","['actually', 'sojo', 'strongly', 'recommends', 'meat', 'add', 'mix', 'raw', 'cooked', 'choose', 'dog', 'arrived', 'coccidia', 'giardia', 'puppy', 'veterinary', 'mismanagement', 'never', 'completely', 'healthy', 'first', 'year', 'life', 'watching', 'get', 'sicker', 'aggressive', 'course', 'antibiotic', 'prednisone', 'inflammatory', 'bowel', 'disease', 'took', 'holistic', 'veterinarian', 'part', 'treatment', 'homemade', 'diet', 'sojo', 'meat', 'plus', 'medication', 'extremely', 'pleased', 'report', 'episode', 'month', 'reached', 'point', 'consider', 'healthy', 'coat', 'glossy', 'much', 'fluffier', 'finally', 'good', 'weight', 'photo', 'show', 'dramatic', 'improvement', 'much', 'credit', ""sojo's."", 'take', 'extra', 'time', 'prepare', 'opposed', 'kibble', 'make', 'day', 'worth', 'time', 'take', 'minute', 'total', 'includes', 'time', 'meat', 'cooking', 'cleaning', 'after', 'completely', 'honest', 'thrilled', 'cooking', 'dog', 'thrilled', 'result', 'able', 'feed', 'raw', 'perhaps', 'road', 'vet', 'give', 'preparation', 'time', 'would', 'almost', 'nothing']",actually sojo strongly recommends meat add mix raw cooked choose dog arrived coccidia giardia puppy veterinary mismanagement never completely healthy first year life watching get sicker aggressive course antibiotic prednisone inflammatory bowel disease took holistic veterinarian part treatment homemade diet sojo meat plus medication extremely pleased report episode month reached point consider healthy coat glossy much fluffier finally good weight photo show dramatic improvement much credit sojo's. take extra time prepare opposed kibble make day worth time take minute total includes time meat cooking cleaning after completely honest thrilled cooking dog thrilled result able feed raw perhaps road vet give preparation time would almost nothing,1,1,1.0
33,positive,17/4/21,"Green tea is good for you, loaded with antioxidants, boosts your metabolism, yadda, yadda, yadda, but I never quite warmed up to the taste.  Until now.  The lemon and the ginger give this a very nice flavor.  And it is SO great that I can just add a packet to my water bottle and go, without the bother of brewing it.","['green', 'tea', 'good', 'you', 'loaded', 'antioxidant', 'boost', 'metabolism', 'yadda', 'yadda', 'yadda', 'never', 'quite', 'warmed', 'taste', 'now', 'lemon', 'ginger', 'give', 'nice', 'flavor', 'great', 'add', 'packet', 'water', 'bottle', 'without', 'bother', 'brewing']",green tea good you loaded antioxidant boost metabolism yadda yadda yadda never quite warmed taste now lemon ginger give nice flavor great add packet water bottle without bother brewing,1,1,1.0
37,positive,30/1/21,We like this brownie mix and I usually use the low fat recipe on it. I also add chocolate chips or something else to it otherwise it ends up a little bit dry.<br /><br />We still buy this by the case.,"['like', 'brownie', 'mix', 'usually', 'use', 'low', 'fat', 'recipe', 'also', 'add', 'chocolate', 'chip', 'something', 'else', 'otherwise', 'end', 'little', 'bit', 'dry.', 'still', 'buy', 'case']",like brownie mix usually use low fat recipe also add chocolate chip something else otherwise end little bit dry. still buy case,1,1,1.0
43,positive,17/4/21,This is a very good snack that I feel great about offering my 10 month old.  She can easily  pick up the small pieces and definitely enjoys the apple cinnamon taste.  My 5 year old loves them as well!  I would definitely recommend these to anyone with small (or larger) kids.  :),"['good', 'snack', 'feel', 'great', 'offering', 'month', 'old', 'easily', 'pick', 'small', 'piece', 'definitely', 'enjoys', 'apple', 'cinnamon', 'taste', 'year', 'old', 'love', 'well', 'would', 'definitely', 'recommend', 'anyone', 'small', 'larger', 'kid']",good snack feel great offering month old easily pick small piece definitely enjoys apple cinnamon taste year old love well would definitely recommend anyone small larger kid,1,1,1.0
