-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"('br', 0.020432171743205742)","('coffee', 0.07099736059063634)","('tea', 0.09713828034569144)","('sauce', 0.029931477945878616)","('snack', 0.023044179242072773)","('taste', 0.025877214051090856)","('drink', 0.029240118983940133)","('dog', 0.03957096412361533)","('gluten', 0.03723345812195272)","('chips', 0.06503797204627482)","('crackers', 0.039132574272596)","('cookies', 0.060365707257707985)","('sugar', 0.06020247062011538)","('almonds', 0.04956736143593558)","('price', 0.03984906446974741)","('popcorn', 0.08097195362089189)","('chocolate', 0.049203441314294334)","('product', 0.04243394728342938)"
"('like', 0.012911178151771648)","('cup', 0.026031579242692504)","('br', 0.020928645957780056)","('salt', 0.023624520607363766)","('bars', 0.01984554552928438)","('flavor', 0.02084808937992342)","('br', 0.028943017371595648)","('food', 0.031120811675794356)","('gluten free', 0.03004673525280506)","('br', 0.03236810651705744)","('cracker', 0.0204930733479054)","('chocolate', 0.037160931208430344)","('jerky', 0.038676045835652643)","('nuts', 0.04053568048694881)","('amazon', 0.02529933837048255)","('pork', 0.04687922707691693)","('cocoa', 0.043903676887892366)","('item', 0.03442914483818863)"
"('good', 0.01192014073796087)","('cups', 0.018501693212124665)","('like', 0.018749203749325354)","('br', 0.02326895419394294)","('br', 0.019802306550767118)","('syrup', 0.02046182022599865)","('orange', 0.028412707899108842)","('dogs', 0.025676417881848677)","('free', 0.029282163729773884)","('bag', 0.020309973889346907)","('br', 0.01659322624799082)","('cookie', 0.02481923829330309)","('sugar free', 0.022593249782212704)","('br', 0.025340800988058184)","('store', 0.023108287298213088)","('rinds', 0.031301486109857404)","('hot', 0.041698368143943974)","('good', 0.031966309128332066)"
"('br br', 0.01150960825727352)","('like', 0.017150919243419438)","('taste', 0.017377639173797282)","('pasta', 0.021067326011214655)","('great', 0.016485942104149547)","('great', 0.020170939599219246)","('soda', 0.027784425443699218)","('treats', 0.023306586483518407)","('cereal', 0.025001231183080008)","('calories', 0.01944947458808303)","('cheese', 0.016524848739695532)","('br', 0.022005034834906206)","('taste', 0.01942526506184639)","('cashews', 0.018161849114678295)","('00', 0.021013507103256474)","('pork rinds', 0.027527986482898517)","('milk', 0.0400519120718589)","('price', 0.030366424622549973)"
"('taste', 0.011502025673670159)","('br', 0.016778939178536446)","('green', 0.016853753738157375)","('soup', 0.01850764037055296)","('good', 0.012812314704291696)","('product', 0.01948215526532733)","('juice', 0.02699366673805894)","('br', 0.019082558674584235)","('br', 0.023009500110201815)","('kettle', 0.01735739454411586)","('graham', 0.015684131898306652)","('taste', 0.016054589962071184)","('br', 0.017747233895625047)","('like', 0.01797538435686837)","('grocery', 0.020967590769271217)","('microwave', 0.023383216378489814)","('hot chocolate', 0.028405681194680753)","('amazon', 0.020931494915566146)"
"('great', 0.011431796105177734)","('taste', 0.01655885790550883)","('teas', 0.016542490120736632)","('great', 0.016979123562576907)","('like', 0.012670996745351696)","('good', 0.019474297925684586)","('taste', 0.01972466550514237)","('china', 0.018696410737312437)","('mix', 0.018675561447541227)","('br br', 0.01659002528042227)","('great', 0.015412505037793667)","('like', 0.014860663414164964)","('free', 0.016810469402861884)","('br br', 0.01672688087478863)","('box', 0.019614371982774863)","('taste', 0.018020348649767336)","('like', 0.022910529418504848)","('gift', 0.01935916721677768)"
"('product', 0.011181248222938743)","('beans', 0.014495677980546214)","('green tea', 0.015758844306376394)","('good', 0.013793155823878583)","('healthy', 0.012031656236620792)","('price', 0.016077056922582347)","('br br', 0.01843687816296318)","('made', 0.015120322553240393)","('pancakes', 0.013379809901386012)","('good', 0.015975849994276176)","('taste', 0.01454245652185401)","('good', 0.014735817301588327)","('beef', 0.0166181095257277)","('taste', 0.016275680452794455)","('99', 0.018420370571049706)","('bag', 0.01787955739251649)","('br', 0.020083559829246915)","('bought', 0.019331127966466716)"
"('one', 0.01030516548037011)","('keurig', 0.013729987661025804)","('flavor', 0.014551405108326837)","('taste', 0.013704401308615288)","('one', 0.011443134319261373)","('br', 0.01470294475175523)","('water', 0.017613737032745436)","('product', 0.012879414496150769)","('granola', 0.013190295328700457)","('like', 0.015022607291730092)","('good', 0.013803433344881327)","('br br', 0.013695017188832773)","('good', 0.01626710112747955)","('fresh', 0.015727180054144366)","('pack', 0.017930688281905322)","('use', 0.017289098656665974)","('hot cocoa', 0.018546841530621225)","('great', 0.019168842910901)"
"('water', 0.008972615029747425)","('flavor', 0.012910142107263616)","('br br', 0.013656741895109339)","('br br', 0.013007450260463098)","('eat', 0.011356527234713126)","('like', 0.01402294068498437)","('like', 0.01748765004161308)","('made china', 0.012441017448352642)","('br br', 0.012700041179686625)","('taste', 0.014588121570756453)","('amazon', 0.012257998874041049)","('great', 0.011630579229010505)","('product', 0.014985025864241325)","('good', 0.01475620451874708)","('product', 0.016523906223226786)","('product', 0.01640490108330617)","('taste', 0.016764294250362227)","('shipping', 0.01889031788133273)"
"('amazon', 0.008452213248903986)","('good', 0.01288990218701376)","('drink', 0.013578381408240475)","('chicken', 0.012800036191212304)","('love', 0.011234204875183975)","('tastes', 0.013454704503391349)","('tangerine', 0.01689032424631062)","('pet', 0.011900122946058102)","('great', 0.012469825829714244)","('chip', 0.013317850571369609)","('love', 0.012229760883420373)","('tasty', 0.010957255085148736)","('great', 0.0144755459030125)","('snack', 0.014644942791361023)","('br', 0.01608203340820047)","('great', 0.01621568468750891)","('flavor', 0.015271477584096627)","('company', 0.01809542466912672)"
